label,text
Kidney Stones,i am experiencing colicky pain with hematuria and frequent urination
Malaria,fatigue after travel to endemic area and fever nausea vomiting
Irritable Bowel Syndrome,bloating gas and irregular bowel movements
Tonsillitis,i have difficulty swallowing with tender lymph nodes and fever
Parkinson'S Disease,symptoms include other affected locations contribute to the complicated picture of parkinson's
Urinary Tract Infection,painful urination urgency cloudy urine and pelvic discomfort
Dengue Fever,"high high temperature, severe joint and muscle pain (breakbone high temperature), and a rash."
Anemia,i have weakness cold hands and feet and brittle nails
Gastritis,burning stomach and upper abdominal pain nausea bloating
Hypothyroidism,i am experiencing so many people dont notice symptoms of the disease
Eczema,chronic dry flaky skin that is inflamed and red.
Crohn'S Disease,severe stomach cramps. and chronic diarrhea often with blood and fever
Depression,"for the past few days, i have remembering or making decisions thoughts of death or suicide"
Parkinson'S Disease,i have is particularly frustrating because it may make simple tasks somewhat difficult
Allergic Rhinitis,allergic reaction with sneezing runny nose and red eyes
Tuberculosis,"for the past few days, i have night sweats fever weight loss and chronic cough"
Anemia,feeling dizzy lightheaded and fatigued with pale nails
Kidney Stones,sharp cramping pain in flank with pink or red urine
Common Cold,i have sneezing runny nose and a scratchy throat for a few days
Kidney Stones,i am experiencing severe flank pain radiating to groin with nausea
Depression,sleeping all the time but still exhausted and crying spells and deep sadness.
Scabies,rash with crusting and body and intense itching on hands
Typhoid,persistent high temperature head pain and abdominal discomfort
Depression,"for the past few days, i have persistent sadness loss of interest fatigue and sleep changes"
Influenza,headache and high fever muscle aches dry cough fatigue
Malaria,chills followed by high fever and then sweating episodes
Ulcerative Colitis,"severe urgency to go to the bathroom, diarrhea with mucus and blood."
Malaria,"profuse sweating, headache, nausea, and recurring fevers/chills."
Strep Throat,i have sudden onset throat pain swollen neck glands and headache
Strep Throat,i am experiencing painful throat without cough red spots on roof of mouth and fever
Vertigo,difficulty walking and sudden severe dizziness with vomiting
Sinusitis,i have pain around my sinuses with thick yellow discharge
Anemia,feeling dizzy lightheaded and fatigued with pale nails
Strep Throat,symptoms include sore throat with fever body aches and no cough
Kidney Stones,goes with bloody urine and i have terrible pain in my side that comes
Covid-19,head pain high temperature loss of taste body pain and dry cough
Endometriosis,"chronic pelvic pain throughout the month, very heavy and painful periods."
Hypertension,i have this condition occurs when blood vessels in the eyes burst or bleed
Eczema,extremely itchy patches of skin on the inside of my elbows and dry and red and behind my knees.
Anxiety Disorder,i feel tight in my chest from stress and panic. and my mind races at night
Lyme Disease,i am experiencing no information on frequency is available
Pcos,"irregular menstrual cycles, weight gain especially around the belly, and dark patches of skin."
Scabies,contagious skin condition with itchy bumps and burrow marks
Appendicitis,abdominal tenderness high temperature and pain worse when walking
Hypothyroidism,i am experiencing so people with high cholesterol should be tested for hypothyroidism
Gastroenteritis,stomach cramps for two days and watery diarrhea vomiting
Tonsillitis,"i have painful swallowing, red swollen tonsils, and chills/fever."
Influenza,"symptoms include sweating rapidly, freezing chills, and an annoying dry cough."
Ulcerative Colitis,"bloody diarrhea occurring frequently, stomach cramps, and sudden urge to pass stool."
Ulcerative Colitis,"i am experiencing rectal pain and bleeding, diarrhea, and feverish feelings."
Celiac Disease,i have celiac disease has long been underdiagnosed or misdiagnosed
Tuberculosis,"a persistent cough lasting more than 3 weeks, cough up blood, and night sweats."
Ear Infection,"sharp piercing pain in my right ear, especially when lying down. muffled hearing."
Parkinson'S Disease,symptoms include and reduced swinging of the arms
Endometriosis,"chronic pelvic pain throughout the month, very heavy and painful periods."
Anxiety Disorder,difficulty focusing and chronic anxiety with nausea dizziness
Gout,symptoms include it may not be present during an acute attack
Chickenpox,face. and itchy fluid-filled blisters are popping up all over my torso
Diabetes,i have along with an assessment of symptoms
Hyperthyroidism,"i am experiencing my heart is always racing, i'm losing weight rapidly despite eating a lot, and sweating."
Celiac Disease,"for the past few days, i have or a self-directed immune reaction"
Urinary Tract Infection,i am experiencing in a person with a catheter
Endometriosis,extremely painful menstrual cramps and fatigue and pain with bowel movements.
Crohn'S Disease,severe stomach cramps. and chronic diarrhea often with blood and fever
Strep Throat,sudden sore throat with petechiae on palate and fever
Hypertension,symptoms include some people have white coat hypertension
Gout,i have acute joint pain with warmth and swelling in affected area
Dengue Fever,skin eruptions and breakbone fever with joint pain
Anxiety Disorder,panic episodes with shortness of breath and chest tightness
Eczema,"for the past few days, i have skin condition causing itchiness redness and swelling"
Gastroenteritis,diarrhea and feeling very nauseous after eating out. and stomach cramps
Typhoid,diarrhea and extreme fatigue. and persistent fever that gets higher every day
Strep Throat,sudden onset throat pain swollen neck glands and headache
Eczema,rough bumpy skin with redness and irritation
Tuberculosis,coughing up blood with prolonged fever and wasting
Crohn'S Disease,"cramping in the stomach, diarrhea containing blood, and extreme fatigue."
Stroke,symptoms include sudden numbness or weakness of the face
Tuberculosis,low grade high temperature cough with hemoptysis and weight loss
Anemia,i am always tired and get dizzy when i stand up. and look very pale
Allergic Rhinitis,symptoms include constant sneezing runny nose and itchy throat from allergies
Asthma,symptoms include the best way to diagnose asthma for certain is to use a lung function test
Conjunctivitis,"redness in both eyes, feels gritty like there's sand in them, highly contagious pink eye."
Tonsillitis,"for the past few days, i have fever throat pain and enlarged tonsils with difficulty eating"
Gastritis,nausea and feeling overly full in the upper stomach after eating just a little.
Conjunctivitis,"for the past few days, i have red watery eyes itching and discharge from eyes"
Gout,i have painful swollen joint that is too tender to touch
Covid-19,high temperature with body aches dry cough and loss of taste and smell
Stroke,symptoms include a tia may occur only once in a persons lifetime or more often
Hypertension,fatigue dizziness and pounding in chest or head
Stroke,symptoms include you may not be able to call 911 on your own
Typhoid,high temperature with rash on abdomen enlarged spleen and diarrhea
Tonsillitis,my tonsils are huge and covered in white spots. swallowing is excruciating.
Kidney Stones,i have sharp pain in lower back and side with blood in urine
Allergic Rhinitis,nasal irritation and sneezing itchy eyes runny nose
Typhoid,sustained fever with headache and stomach pain for over a week
Pneumonia,i am experiencing high fever chest pain and cough with thick mucus
Irritable Bowel Syndrome,constipation and bloating with occasional diarrhea
Ear Infection,trouble hearing and throbbing ear pain fever
Celiac Disease,i have or scalpthat affects about 5 to 10 percent of people with celiac disease
Heart Attack,i have symptoms can vary not all heart attacks begin with the sudden
Bronchitis,persistent cough with thick sputum and mild high temperature
Urinary Tract Infection,"for the past few days, i have symptoms of a urinary tract infection (uti) in the bladder may include - cloudy"
Heart Attack,"for the past few days, i have chest pain or discomfort the most common symptom of heart attack is chest pain or discomfort"
Ear Infection,i am experiencing ear pain hearing difficulty and fluid drainage from ear
Common Cold,sneezing. no fever and i keep blowing my nose and just feeling a bit congested.
Alzheimer'S Disease,i have and language skills carry out standard medical tests
Tuberculosis,"coughing up pinkish sputum, extreme fatigue, and night sweats."
Anemia,pale skin fatigue and feeling out of breath easily
Tonsillitis,"for the past few days, i have i have very painful throat and can see white spots on my tonsils"
Urinary Tract Infection,"for the past few days, i have if you have germs in your urine but you feel okay"
Malaria,high high temperature with rigors sweating and anemia
Covid-19,"i am experiencing testing positive soon maybe: lack of taste, fever, and breathing is slightly hard."
Scabies,intense itching especially at night with burrow tracks on skin
Tuberculosis,"i have coughing up pinkish sputum, extreme fatigue, and night sweats."
Anxiety Disorder,constant worrying muscle tension and difficulty sleeping
Appendicitis,i have pain around belly button that shifted to lower right with nausea
Gout,i have and warm joint  - attack of arthritis in only one joint
Parkinson'S Disease,"for the past few days, i have four primary symptoms the four primary symptoms of parkinson's are tremor"
Allergic Rhinitis,hay high temperature symptoms with congestion and sneezing
Ulcerative Colitis,"bloody diarrhea occurring frequently, stomach cramps, and sudden urge to pass stool."
Parkinson'S Disease,"for the past few days, i have the shaking or tremor may make it difficult to hold utensils steady or read a newspaper"
Allergic Rhinitis,i have i keep sneezing with itchy nose and eyes especially outdoors
Alzheimer'S Disease,symptoms include its time to see your doctor
Heart Attack,i am experiencing these patients were more likely to be older
Celiac Disease,i am experiencing people with dermatitis herpetiformis may have no other signs or symptoms of celiac disease
Common Cold,"for the past few days, i have runny nose sneezing mild cough sore throat and congestion"
Gout,symptoms include it may not be present during an acute attack
Irritable Bowel Syndrome,i have cramping pain after eating with bloating and changed stools
Typhoid,step ladder pattern fever with constipation and malaise
Ear Infection,"symptoms include intense pain inside the ear canal, fever, and difficulty hearing clearly."
Sinusitis,mucus and cheeks with stuffy nose and headache around eyes
Malaria,"profuse sweating, headache, nausea, and recurring fevers/chills."
Gout,symptoms include crystal arthritis with sudden painful swelling in toe or ankle
Influenza,i have sudden onset of fever muscle soreness and extreme tiredness
Gout,"intense joint pain at night in my toe, looks very red and feels warm."
Covid-19,dry cough and headache fever loss of taste body pain
Migraine,i have pounding headache that gets worse with light and movement
Diabetes,blurry vision tiredness and cuts that heal slowly
Chickenpox,"symptoms include lots of small itchy pimples that became blisters, fever, and tiredness."
Anxiety Disorder,"my mind races at night, i feel tight in my chest from stress and panic."
Chickenpox,fever followed by itchy rash and small blisters on skin
Hypothyroidism,"symptoms include sluggishness, unexplained weight gain, brittle nails, and constant feeling of coldness."
Influenza,i have sudden onset of fever muscle soreness and extreme tiredness
Kidney Stones,sharp pain in my side/back radiating down to my groin. urine is pink. and the most severe
Alzheimer'S Disease,confusion about time and forgetting recent conversations completely. and place
Ulcerative Colitis,"severe urgency to go to the bathroom, diarrhea with mucus and blood."
Hypertension,i have the symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face
Dengue Fever,"for the past few days, i have because these frequencies are based on a specific study"
Chickenpox,symptoms include red spots turning into fluid filled blisters all over body
Stroke,symptoms include you may have a hard time eating or drinking
Lyme Disease,a large bullseye-shaped rash on my arm. and muscle aches and stiff neck
Ulcerative Colitis,urgent need to defecate. and pus and diarrhea with blood and abdominal pain
Lyme Disease,i am experiencing no information on frequency is available
Bronchitis,i have cough that won't go away with phlegm and chest soreness
Influenza,high fever muscle aches dry cough fatigue and headache
Tuberculosis,coughing up blood with prolonged fever and wasting
Appendicitis,severe abdominal pain on the right side and vomiting and lack of appetite.
Eczema,"for the past few days, i have skin condition causing itchiness redness and swelling"
Migraine,pounding headache that gets worse with light and movement
Strep Throat,symptoms include sudden severe sore throat fever and swollen lymph nodes
Psoriasis,i am experiencing chronic skin condition with plaques on knees elbows and scalp
Migraine,sensitivity to noise and severe pulsating headache with vomiting
Celiac Disease,"stomach pains, weight loss, and anemia. eating bread makes me feel very sick."
Pneumonia,symptoms include you may need to have the fluid drained through a chest tube or removed with surgery
Appendicitis,right sided abdominal pain with loss of appetite and high temperature
Appendicitis,"for the past few days, i have intense right sided abdominal pain with constipation or diarrhea"
Hyperthyroidism,"i am experiencing rapid heart rate, constantly sweating, very anxious, and trouble sleeping."
Heart Attack,"for the past few days, i have the symptoms of angina (an-ji-nuh or an-juh-nuh) can be similar to the symptoms of a heart attack"
Kidney Stones,sharp pain in lower back and side with blood in urine
Pcos,"symptoms include i miss my periods for months, have bad acne, and thinning hair on my head."
Gout,i have sudden onset severe pain in foot joint with redness
Tonsillitis,throat feels raw with swelling and mild ear pain
Pcos,"infrequent periods, struggling to lose weight, and noticeable hair growth on my face."
Influenza,"for the past few days, i have fever headache body pain chills sore throat tiredness for two days"
Malaria,sweating. and cyclical periods of intense shaking chills followed by a very high fever
Covid-19,ageusia along with fatigue and anosmia and a slight fever.
Irritable Bowel Syndrome,crampy abdominal pain relieved by bowel movement
Gastroenteritis,stomach bug with nausea loose motions and mild fever
Lyme Disease,symptoms include the fractions may be different if another group of patients are examined
Covid-19,high temperature dry cough loss of smell fatigue and body aches
Chickenpox,rash starting on trunk spreading to face and limbs with high temperature
Tonsillitis,difficulty swallowing with tender lymph nodes and fever
Endometriosis,extremely painful menstrual cramps and fatigue and pain with bowel movements.
Influenza,shivering high temperature headache and joint pain for three days
Celiac Disease,"for the past few days, i have signs and symptoms of celiac disease vary from person to person because of numerous factors"
Scabies,"symptoms include intense itching all over my body, especially at night. little red burrows between my fingers."
Gout,i have and warm joint  - attack of arthritis in only one joint
Asthma,symptoms include not all people who have asthma have these symptoms
Malaria,high temperatures spiking every two days with massive sweating and extreme shivering.
Crohn'S Disease,"persistent watery diarrhea, severe gas pains, and feeling constantly fatigue."
Influenza,"for the past few days, i have started suddenly: fever, chills, aching joints, and profound fatigue."
Hypothyroidism,"symptoms include i feel incredibly tired all the time, gaining weight for no reason, and feeling very cold."
Hypertension,"for the past few days, i have stroke: when the flow of oxygen-rich blood to a portion of the brain is blocked"
Conjunctivitis,itchy red eyes with swollen eyelids and watery discharge
Hyperthyroidism,"bulging eyes, rapid weight loss, heat intolerance, and nervousness."
Hypertension,i am experiencing i have been having headaches and my blood pressure is high
Influenza,i have been having high fever with body aches and chills since yesterday
Gastroenteritis,having watery diarrhea. and i've been vomiting all morning
Bronchitis,chronic cough producing yellow or green mucus and chest tightness
Allergic Rhinitis,symptoms include constant sneezing runny nose and itchy throat from allergies
Tonsillitis,fever and sore throat difficulty swallowing swollen tonsils
Sinusitis,i have postnasal drip thick nasal discharge and facial tenderness
Influenza,"started suddenly: fever, chills, aching joints, and profound fatigue."
Stroke,symptoms include loss of balance or coordination
Eczema,symptoms include dry itchy inflamed skin with red patches
Scabies,i have intense itching at night with a rash on my hands and wrists
Crohn'S Disease,severe abdominal pain and persistent diarrhea and noticeable weight loss without trying.
Gout,i have sudden onset severe pain in foot joint with redness
Gout,symptoms include red hot swollen joint with intense pain usually at night
Scabies,i have contagious skin condition with itchy bumps and burrow marks
Pneumonia,sharp pain when breathing deeply with high temperature and cough
Psoriasis,i am experiencing skin plaques with silvery flaking on scalp and limbs
Gout,"for the past few days, i have and the attacks usually begin at night"
Bronchitis,"for the past few days, i have you may still have a dry cough for days or weeks"
Chickenpox,red bumpy rash that becomes blisters with severe itching
Hyperthyroidism,completely restless and fast heartbeat and feeling very hot all the time and jittery.
Tuberculosis,i have been cough for weeks with night sweats and weight loss
Influenza,fever fatigue dry cough and body aches after exposure to flu
Depression,low mood difficulty concentrating and changes in appetite
Influenza,an annoying dry cough. and sweating rapidly and freezing chills
Crohn'S Disease,severe gas pains and feeling constantly tired. and persistent watery diarrhea
Hypothyroidism,i have myxedema requires immediate medical treatment
Anxiety Disorder,worry that interferes with daily life and causes insomnia
Stroke,sudden severe headache and blurred vision and unable to balance.
Celiac Disease,i have or symptoms in other parts of the body
Eczema,i am experiencing chronic dry flaky skin that is inflamed and red.
Endometriosis,"extremely painful menstrual cramps, fatigue, and pain with bowel movements."
Alzheimer'S Disease,"for the past few days, i have and changes in behavior and personality conduct tests to measure memory"
Covid-19,high temperature with body aches dry cough and loss of taste and smell
Allergic Rhinitis,itchy nose sneezing and clear nasal discharge
Parkinson'S Disease,symptoms include the four main symptoms of parkinson's disease are: - tremor
Ear Infection,"symptoms include my ear is draining fluid, throbbing pain, and i feel slightly dizzy."
Gastroenteritis,vomiting and severe stomach cramps with frequent watery stools
Dengue Fever,extreme fatigue and high temperature with rash nausea
Kidney Stones,groin and sudden severe pain in back radiating to abdomen
Irritable Bowel Syndrome,cramping pain after eating with bloating and changed stools
Dengue Fever,"i am experiencing pain behind the eyes, high fever, and extreme fatigue after a mosquito bite."
Kidney Stones,"the most severe, sharp pain in my side/back radiating down to my groin. urine is pink."
Scabies,i am experiencing intense itching especially at night with burrow tracks on skin
Dengue Fever,"for the past few days, i have much of this information comes from orphanet"
Ulcerative Colitis,"i am experiencing rectal pain and bleeding, diarrhea, and feverish feelings."
Asthma,i have chemicals or dust in the workplace
Pneumonia,"i have sharp chest pain when i inhale, productive cough, and feeling extremely weak and feverish."
Urinary Tract Infection,symptoms include diagnosis  to find out if a person has a uti
Heart Attack,"for the past few days, i have heart attacks that occur without any symptoms or with very mild symptoms are called silent heart attacks"
Typhoid,persistent high temperature head pain and abdominal discomfort
Eczema,irritation and rough bumpy skin with redness
Depression,"for the past few days, i have wakefulness in the middle of the night"
Chickenpox,"i have red itchy rash turning into scabs, accompanied by a mild fever."
Eczema,crusting and chronic skin inflammation with oozing
Pcos,thinning hair on my head. and i miss my periods for months and have bad acne
Endometriosis,"for the past few days, i have pelvic pain that gets worse during my menstrual cycle, heavy bleeding."
Common Cold,i have sneezing runny nose and a scratchy throat for a few days
Kidney Stones,"agonizing pain in the right kidney area, throwing up from the pain."
Malaria,"i have travelled recently, now having severe chills, high fever, and body aches."
Depression,"for the past few days, i have wakefulness in the middle of the night"
Eczema,skin condition causing itchiness redness and swelling
Hyperthyroidism,"tremors in my hands, feeling very anxious all the time, and unexpected weight loss."
Psoriasis,scalp. and thick red plaques of skin covered with silvery scales on my elbows
Stroke,i am experiencing loss of balance or coordination sudden severe headache with no known cause
Urinary Tract Infection,i am experiencing the urine test also looks for white blood cells
Endometriosis,chronic pelvic pain throughout the month and very heavy and painful periods.
Influenza,i have been having high fever with body aches and chills since yesterday
Hyperthyroidism,"fast heartbeat, feeling very hot all the time, completely restless and jittery."
Celiac Disease,"for the past few days, i have a person may experience digestive signs and symptoms"
Lyme Disease,extreme tiredness and swollen lymph nodes and a strange expanding red rash.
Ear Infection,"for the past few days, i have ear ache with fever and pulling at the ear"
Ulcerative Colitis,i am experiencing the most common signs and symptoms of ulcerative colitis are diarrhea with blood or pus and abdominal discomfort
Lyme Disease,"symptoms include muscle aches, stiff neck, and a large bullseye-shaped rash on my arm."
Typhoid,fever with rash on abdomen enlarged spleen and diarrhea
Dengue Fever,skin rash and sudden high fever severe body pain
Stroke,symptoms include heeding them can save your life
Urinary Tract Infection,"it burns a lot when i urinate, and i feel the urge to go constantly."
Urinary Tract Infection,i feel the urge to go constantly. and it burns a lot when i urinate
Bronchitis,symptoms include this type of cough often is called a smoker's cough
Eczema,symptoms include atopic dermatitis with dry cracked and inflamed skin
Dengue Fever,i have 5% nausea and vomiting 7
Crohn'S Disease,"severe abdominal pain, persistent diarrhea, and noticeable weight loss without trying."
Stroke,symptoms include loss of bowel control or constipation also may occur after a stroke
Pcos,"skipping periods, severe acne, and weight gain that is very hard to lose."
Crohn'S Disease,severe abdominal pain and persistent diarrhea and noticeable weight loss without trying.
Sinusitis,facial pain pressure around nose thick nasal discharge and head pain
Crohn'S Disease,"fever, chronic diarrhea often with blood, and severe stomach cramps."
Common Cold,sneezing runny nose and a scratchy throat for a few days
Anxiety Disorder,i am experiencing i feel anxious all the time with heart palpitations and tension
Pcos,"irregular periods, excessive facial hair growth, and unexplained weight gain."
Influenza,high fever muscle aches dry cough fatigue and headache
Gastroenteritis,watery diarrhea vomiting and stomach cramps for two days
Ulcerative Colitis,"severe urgency to go to the bathroom, diarrhea with mucus and blood."
Lyme Disease,"extreme fatigueness, swollen lymph nodes, and a strange expanding red rash."
Allergic Rhinitis,i am experiencing allergic reaction with sneezing runny nose and red eyes
Stroke,i am experiencing especially on one side of the body  - sudden confusion
Anxiety Disorder,symptoms include feeling nervous irritable and having trouble concentrating
Parkinson'S Disease,i have as well as response to drug treatment
Typhoid,"for the past few days, i have fever with rash on abdomen enlarged spleen and diarrhea"
Tonsillitis,swollen lymph nodes and difficulty swallowing and white patches on the back of my throat.
Ulcerative Colitis,sudden urge to pass stool. and bloody diarrhea occurring frequently and stomach cramps
Irritable Bowel Syndrome,i have alternating diarrhea and constipation with stomach cramps
Pcos,"i miss my periods for months, have bad acne, and thinning hair on my head."
Vertigo,spinning sensation dizziness nausea and balance problems
Hypothyroidism,constant exhaustion. and muscle weakness and memory problems and very dry skin
Appendicitis,"severe abdominal pain on the right side, vomiting, and lack of appetite."
Ear Infection,discharge and infection in ear causing pain swelling
Asthma,using my inhaler a lot because of chest tightness and difficulty breathing deeply.
Covid-19,difficulty breathing high temperature dry cough and chest tightness
Tonsillitis,i am experiencing my tonsils are huge and covered in white spots. swallowing is excruciating.
Depression,"no motivation to eat or socialize, just feeling empty and profoundly sad."
Bronchitis,"cough up a lot of sputum, slight high temperature, and wheezing when i breathe."
Gastritis,"for the past few days, i have the term gastritis is sometimes mistakenly used to describe any symptoms of pain or discomfort in the upper abdomen"
Depression,"i have can't get out of bed, feeling hopeless and worthless for weeks now."
Covid-19,"for the past few days, i have i completely lost my sense of taste and smell yesterday, accompanied by a dry cough."
Kidney Stones,sharp cramping pain in flank with pink or red urine
Vertigo,"for the past few days, i have intense dizziness with ringing in ears and nausea"
Irritable Bowel Syndrome,"for the past few days, i have abdominal cramping bloating diarrhea and constipation"
Gout,i have intense throbbing pain in big toe with shiny red skin
Hyperthyroidism,nervousness. and bulging eyes and rapid weight loss and heat intolerance
Vertigo,room feels like it is spinning with nausea and vomiting
Endometriosis,extremely painful periods and lower back pain. and pain during intercourse
Appendicitis,pain around belly button that shifted to lower right with nausea
Pneumonia,symptoms include symptoms may vary in certain populations
Anxiety Disorder,"i have i feel constantly on edge, my heart races for no reason, and i can't stop worrying."
Gastritis,symptoms include upper abdominal pain nausea bloating and burning stomach
Malaria,fever nausea vomiting and fatigue after travel to endemic area
Strep Throat,throat pain red tonsils with white streaks and fever
Stroke,i have half of my face is drooping and my right arm feels totally numb and weak.
Typhoid,"high high temperature, head pain, abdominal pain, and poor appetite over a week."
Malaria,"i have travelled recently, now having severe chills, high fever, and body aches."
Tuberculosis,i have low grade fever cough with hemoptysis and weight loss
Migraine,pulsing headache that causes nausea. and light and extreme sensitivity to sound
Lyme Disease,"joint pain, high temperature, and a red rash with a clear center after walking in the woods."
Sinusitis,"i am experiencing pressure and pain right behind my eyes and forehead, thick green nasal discharge."
Pneumonia,i have productive cough fever chills and sharp chest pain
Vertigo,sudden onset dizziness with difficulty standing and nausea
Asthma,coughing fits at night with wheezing and trouble breathing
Scabies,"intense itching all over my body, especially at night. little red burrows between my fingers."
Alzheimer'S Disease,i have and make legal and financial arrangements while the person with alzheimers can still take part in making decisions
Common Cold,symptoms include i keep sneezing and my nose is running with slight sore throat
Endometriosis,"i am experiencing severe cramps during my period that radiate to my back and legs, and painful urination."
Eczema,"dry, red, extremely itchy patches of skin on the inside of my elbows and behind my knees."
Pcos,"irregular menstrual cycles, weight gain especially around the belly, and dark patches of skin."
Covid-19,extreme tiredness and i tested positive and have fever cough
Typhoid,step ladder pattern fever with constipation and malaise
Depression,"for the past few days, i have persistent sadness loss of interest fatigue and sleep changes"
Eczema,i am experiencing chronic dry flaky skin that is inflamed and red.
Endometriosis,chronic pelvic pain throughout the month and very heavy and painful periods.
Eczema,rough bumpy skin with redness and irritation
Malaria,"for the past few days, i have fevers spiking every two days with massive sweating and extreme shivering."
Irritable Bowel Syndrome,"for the past few days, i have frequent loose stools with abdominal pain and gas"
Dengue Fever,i am experiencing the table below includes how often the symptom is seen in people with this condition
Ear Infection,symptoms include ear feels full with sharp pain and temporary hearing loss
Endometriosis,"i have chronic pelvic pain throughout the month, very heavy and painful periods."
Parkinson'S Disease,i am experiencing but the disease can be difficult to diagnose accurately
Vertigo,i am experiencing sudden severe dizziness with vomiting and difficulty walking
Hypertension,i am experiencing early treatment may help you avoid problems such as heart attack
Crohn'S Disease,severe stomach cramps. and chronic diarrhea often with blood and fever
Heart Attack,symptoms include they also can develop slowlysometimes within hours
Psoriasis,i have thick red patches with silvery scales on skin
Common Cold,mild cough nasal congestion and sneezing without high temperature
Alzheimer'S Disease,i have and blood-vessel disease in the brain can cause symptoms similar to those of alzheimer's
Appendicitis,intense right sided abdominal pain with constipation or diarrhea
Gout,i woke up with my big toe extremely swollen red and painful
Lyme Disease,"for the past few days, i have 5% inflammatory abnormality of the eye 7"
Urinary Tract Infection,symptoms include even right after emptying the bladder  - a mild fever below 101 degrees fahrenheit in some people
Conjunctivitis,eye redness burning sensation and yellowish discharge
Gastritis,symptoms include the relationship between gastritis and a person's symptoms is not clear
Tuberculosis,weight loss and persistent cough lasting weeks with blood in sputum
Hypertension,i have signs and symptoms include vision changes or blindness
Influenza,"for the past few days, i have started suddenly: fever, chills, aching joints, and profound fatigue."
Dengue Fever,i have fever with rash muscle pain and bleeding gums
Diabetes,symptoms include they delay scheduling a checkup because they do not feel sick
Eczema,extremely itchy patches of skin on the inside of my elbows and dry and red and behind my knees.
Sinusitis,i have pain around my sinuses with thick yellow discharge
Strep Throat,"i am experiencing intense sore throat, fever, and a rash on my chest."
Crohn'S Disease,"i have abdominal cramping, frequent trips to the bathroom, and losing weight quickly."
Malaria,vomiting after mosquito bites and fever chills headache
Kidney Stones,i am experiencing intense pain in lower back with difficulty urinating
Diabetes,i have according to 2012 estimates by the centers for disease control and prevention (cdc)
Tuberculosis,"i have coughing up pinkish sputum, extreme fatigue, and night sweats."
Scabies,i have persistent itching with tiny bumps in warm areas of body
Bronchitis,persistent cough chest congestion mild fever and mucus
Asthma,difficulty breathing at night with wheezing and coughing
Sinusitis,sinus pressure headache and thick green nasal mucus
Kidney Stones,i am experiencing intense pain in lower back with difficulty urinating
Gastroenteritis,nausea diarrhea stomach pain and body weakness
Pcos,infrequent periods and noticeable hair growth on my face. and struggling to lose weight
Pneumonia,fever shaking chills cough and shortness of breath
Malaria,cyclic pattern of fever with headache and body aches
Gastroenteritis,i've been vomiting all morning and having watery diarrhea.
Chickenpox,classic childhood rash: red spots becoming itchy blisters all over the body.
Covid-19,have fever and i cannot smell or taste anything and dry cough
Appendicitis,pain worse when walking and abdominal tenderness fever
Hypothyroidism,feeling very cold. and i feel incredibly tired all the time and gaining weight for no reason
Alzheimer'S Disease,i have like getting dressed impulsive behavior forgetting the names of common things hallucinations
Pneumonia,symptoms include if they already have a lung disease
Hypothyroidism,i have an extreme form of hypothyroidism in which the bodys functions slow to the point that it becomes life threatening
Anxiety Disorder,racing thoughts panic attacks and feeling overwhelmed
