label,text
Allergic Rhinitis,seasonal sneezing watery eyes and congestion
Allergic Rhinitis,itchy nose sneezing and clear nasal discharge
Allergic Rhinitis,sneezing fits with itchy watery eyes during spring
Allergic Rhinitis,constant sneezing runny nose and itchy throat from allergies
Allergic Rhinitis,nasal congestion sneezing and itchy eyes around pollen
Allergic Rhinitis,i keep sneezing with itchy nose and eyes especially outdoors
Allergic Rhinitis,allergic reaction with sneezing runny nose and red eyes
Allergic Rhinitis,hay fever symptoms with congestion and sneezing
Allergic Rhinitis,seasonal allergies causing runny nose sneezing and eye irritation
Bronchitis,cough with mucus chest discomfort wheezing and tiredness
Bronchitis,persistent cough chest congestion mild fever and mucus
Bronchitis,wet cough fatigue and breathing discomfort
Bronchitis,chronic cough producing yellow or green mucus and chest tightness
Bronchitis,cough that won't go away with phlegm and chest soreness
Bronchitis,productive cough with wheezing and shortness of breath
Bronchitis,i have been coughing up mucus for over a week with chest pain
Bronchitis,persistent cough with thick sputum and mild fever
Bronchitis,chest congestion wheezing and a deep wet cough
Bronchitis,cough with mucus production and feeling short of breath
Diabetes,increased thirst frequent urination fatigue and blurred vision
Diabetes,excessive hunger weight loss and frequent urination
Diabetes,constant thirst dry mouth and tiredness with increased urination
Diabetes,i feel thirsty all the time and urinate very frequently
Diabetes,unexplained weight loss increased hunger and blurry vision
Diabetes,fatigue frequent urination and slow healing of wounds
Diabetes,numbness in hands and feet with excessive thirst and urination
Diabetes,blurry vision tiredness and cuts that heal slowly
Diabetes,increased urination at night with extreme thirst and fatigue
Diabetes,dry skin frequent infections and constant tiredness
Hypertension,headache dizziness shortness of breath and chest discomfort
Hypertension,persistent headaches blurred vision and nosebleeds
Hypertension,feeling dizzy with throbbing headache and fatigue
Hypertension,high blood pressure with headache and ringing in ears
Hypertension,dizziness nausea and severe headache from high blood pressure
Hypertension,chest tightness shortness of breath and persistent headache
Hypertension,vision problems headache and feeling lightheaded
Hypertension,i have been having headaches and my blood pressure is high
Hypertension,fatigue dizziness and pounding in chest or head
Hypertension,nosebleeds headache and difficulty breathing
Asthma,wheezing shortness of breath chest tightness and cough
Asthma,difficulty breathing at night with wheezing and coughing
Asthma,chest tightness wheezing and shortness of breath during exercise
Asthma,coughing fits at night with wheezing and trouble breathing
Asthma,i can't breathe properly and have wheezing with cough
Asthma,shortness of breath triggered by cold air with wheezing
Asthma,chest feels tight and i hear wheezing when breathing out
Asthma,recurrent episodes of breathlessness and wheezing
Asthma,difficulty breathing after physical activity with chest tightness
Asthma,wheezing cough and feeling like i can't get enough air
Pneumonia,high fever cough with phlegm chest pain and difficulty breathing
Pneumonia,productive cough fever chills and sharp chest pain
Pneumonia,fever shaking chills cough and shortness of breath
Pneumonia,cough with rust colored sputum fever and breathing difficulty
Pneumonia,high fever chest pain and cough with thick mucus
Pneumonia,feeling very sick with fever cough and struggling to breathe
Pneumonia,sharp pain when breathing deeply with fever and cough
Pneumonia,severe cough with pus like phlegm and high temperature
Pneumonia,rapid breathing fever cough and chest discomfort
Pneumonia,i have high fever cough and pain when i take a deep breath
Sinusitis,facial pain pressure around nose thick nasal discharge and headache
Sinusitis,blocked nose yellowish discharge and pain around eyes and forehead
Sinusitis,sinus pressure headache and thick green nasal mucus
Sinusitis,facial pain especially when bending forward with nasal congestion
Sinusitis,pain and pressure around nose and forehead with blocked nose
Sinusitis,postnasal drip thick nasal discharge and facial tenderness
Sinusitis,headache around eyes and cheeks with stuffy nose and mucus
Sinusitis,i have pain around my sinuses with thick yellow discharge
Sinusitis,congestion facial pressure and reduced sense of smell
Sinusitis,sinus headache with pressure and thick colored nasal drainage
Anxiety Disorder,persistent worry restlessness racing heart and sleep problems
Anxiety Disorder,feeling nervous irritable and having trouble concentrating
Anxiety Disorder,constant worrying muscle tension and difficulty sleeping
Anxiety Disorder,racing thoughts panic attacks and feeling overwhelmed
Anxiety Disorder,excessive anxiety with rapid heartbeat and sweating
Anxiety Disorder,i feel anxious all the time with heart palpitations and tension
Anxiety Disorder,restlessness trembling and feeling on edge constantly
Anxiety Disorder,worry that interferes with daily life and causes insomnia
Anxiety Disorder,panic episodes with shortness of breath and chest tightness
Anxiety Disorder,chronic anxiety with nausea dizziness and difficulty focusing
Depression,persistent sadness loss of interest fatigue and sleep changes
Depression,feeling hopeless worthless and having no energy
Depression,low mood difficulty concentrating and changes in appetite
Depression,feeling empty tearful and unable to enjoy things
Depression,loss of motivation persistent tiredness and withdrawal from activities
Depression,i feel sad all the time and have no interest in anything
Depression,difficulty sleeping feeling of guilt and loss of appetite
Depression,hopelessness fatigue and trouble completing daily tasks
Depression,emotional numbness social withdrawal and constant exhaustion
Depression,depressed mood weight changes and difficulty concentrating
Tonsillitis,sore throat difficulty swallowing swollen tonsils and fever
Tonsillitis,painful throat red swollen tonsils and bad breath
Tonsillitis,throat pain fever headache and white patches on tonsils
Tonsillitis,difficulty swallowing with tender lymph nodes and fever
Tonsillitis,sore throat with swollen glands and pain when swallowing
Tonsillitis,i have very painful throat and can see white spots on my tonsils
Tonsillitis,fever throat pain and enlarged tonsils with difficulty eating
Tonsillitis,throat feels raw with swelling and mild ear pain
Tonsillitis,red inflamed tonsils with fever and headache
Tonsillitis,painful swallowing bad breath and swollen tonsils
Strep Throat,sudden severe sore throat fever and swollen lymph nodes
Strep Throat,painful throat without cough red spots on roof of mouth and fever
Strep Throat,very painful sore throat with white patches and high fever
Strep Throat,sudden onset throat pain swollen neck glands and headache
Strep Throat,sore throat with fever body aches and no cough
Strep Throat,i have a very sore throat with swollen glands and cannot eat
Strep Throat,throat pain red tonsils with white streaks and fever
Strep Throat,severe sore throat with nausea and tender lymph nodes
Strep Throat,painful swallowing fever and red swollen throat
Strep Throat,sudden sore throat with petechiae on palate and fever
Ear Infection,ear pain hearing difficulty and fluid drainage from ear
Ear Infection,throbbing ear pain fever and trouble hearing
Ear Infection,pain inside ear with pressure and muffled hearing
Ear Infection,i have sharp pain in my ear and feel like it is blocked
Ear Infection,ear ache with fever and pulling at the ear
Ear Infection,fluid leaking from ear with pain and reduced hearing
Ear Infection,severe ear pain that worsens at night with fever
Ear Infection,ear feels full with sharp pain and temporary hearing loss
Ear Infection,ear pain with dizziness and headache
Ear Infection,infection in ear causing pain swelling and discharge
Conjunctivitis,red watery eyes itching and discharge from eyes
Conjunctivitis,pink eye with crusting eyelids and tearing
Conjunctivitis,eye redness burning sensation and yellowish discharge
Conjunctivitis,itchy red eyes with swollen eyelids and watery discharge
Conjunctivitis,both eyes are red and stuck together in the morning with discharge
Conjunctivitis,eye irritation redness and sensitivity to light
Conjunctivitis,i have red itchy eyes with pus like discharge
Conjunctivitis,gritty sensation in eyes with redness and tearing
Conjunctivitis,inflamed eyes with crusting and blurred vision
Conjunctivitis,burning red eyes with sticky discharge and swelling
Chickenpox,itchy rash with blisters fever and fatigue
Chickenpox,red spots turning into fluid filled blisters all over body
Chickenpox,fever followed by itchy rash and small blisters on skin
Chickenpox,i have an itchy rash with tiny blisters and mild fever
Chickenpox,rash starting on trunk spreading to face and limbs with fever
Chickenpox,itchy spots turning into blisters and then crusting over
Chickenpox,fever headache and rash with fluid filled vesicles
Chickenpox,red bumpy rash that becomes blisters with severe itching
Chickenpox,widespread itchy blister rash with tiredness and fever
Chickenpox,marks and blisters appearing on skin with fever and malaise
Dengue Fever,high fever severe headache pain behind eyes and joint pain
Dengue Fever,fever with rash muscle pain and bleeding gums
Dengue Fever,sudden high fever severe body pain and skin rash
Dengue Fever,fever headache retro orbital pain and platelet drop
Dengue Fever,i have very high fever with severe body and joint pain
Dengue Fever,high temperature with rash nausea and extreme fatigue
Dengue Fever,fever with bleeding nose muscle aches and bone pain
Dengue Fever,severe headache high fever rash and abdominal pain
Dengue Fever,breakbone fever with joint pain and skin eruptions
Dengue Fever,sudden onset fever with petechial rash and body pain
Malaria,recurring fever chills sweating headache and nausea
Malaria,cyclic fever with shaking chills and profuse sweating
Malaria,fever chills headache and vomiting after mosquito bites
Malaria,i have periodic high fever with shivering and sweating
Malaria,fever that comes and goes with chills and body weakness
Malaria,high fever with rigors sweating and anemia
Malaria,intermittent fever headache muscle pain and vomiting
Malaria,chills followed by high fever and then sweating episodes
Malaria,fever nausea vomiting and fatigue after travel to endemic area
Malaria,cyclic pattern of fever with headache and body aches
Typhoid,prolonged fever abdominal pain constipation and weakness
Typhoid,sustained fever with headache and stomach pain for over a week
Typhoid,high fever that increases daily with loss of appetite
Typhoid,fever with rash on abdomen enlarged spleen and diarrhea
Typhoid,persistent fever headache and abdominal discomfort
Typhoid,i have had fever for over a week with stomach pain and weakness
Typhoid,step ladder pattern fever with constipation and malaise
Typhoid,sustained high temperature with coated tongue and abdominal tenderness
Typhoid,fever weakness and diarrhea alternating with constipation
Typhoid,prolonged fever with loss of appetite headache and body pain
Tuberculosis,persistent cough lasting weeks with blood in sputum and weight loss
Tuberculosis,night sweats fever weight loss and chronic cough
Tuberculosis,cough with blood stained sputum fatigue and fever
Tuberculosis,i have been coughing for weeks with night sweats and weight loss
Tuberculosis,chronic cough fever and loss of appetite with chest pain
Tuberculosis,persistent productive cough night sweats and extreme tiredness
Tuberculosis,coughing up blood with prolonged fever and wasting
Tuberculosis,gradual weight loss night sweats and persistent cough
Tuberculosis,low grade fever cough with hemoptysis and weight loss
Tuberculosis,chronic respiratory symptoms with fever sweating and cachexia
Anemia,fatigue pale skin dizziness and shortness of breath
Anemia,extreme tiredness weakness and pale complexion
Anemia,feeling dizzy lightheaded and fatigued with pale nails
Anemia,i feel very tired all the time and look pale
Anemia,shortness of breath on exertion fatigue and rapid heartbeat
Anemia,weakness cold hands and feet and brittle nails
Anemia,persistent tiredness headache and difficulty concentrating
Anemia,pale skin fatigue and feeling out of breath easily
Anemia,low energy dizziness and pounding heart during activity
Anemia,exhaustion pallor and poor exercise tolerance
Gastritis,upper abdominal pain nausea bloating and burning stomach
Gastritis,stomach pain after eating with nausea and indigestion
Gastritis,burning sensation in upper stomach with bloating and belching
Gastritis,i have a burning pain in my stomach especially after meals
Gastritis,epigastric pain nausea and feeling of fullness
Gastritis,stomach inflammation causing pain nausea and loss of appetite
Gastritis,upper belly discomfort with acid reflux and bloating
Gastritis,gnawing stomach pain with hiccups and nausea
Gastritis,abdominal burning and discomfort with occasional vomiting
Gastritis,stomach pain that worsens on empty stomach with nausea
Irritable Bowel Syndrome,abdominal cramping bloating diarrhea and constipation
Irritable Bowel Syndrome,alternating diarrhea and constipation with stomach cramps
Irritable Bowel Syndrome,bloating gas and irregular bowel movements
Irritable Bowel Syndrome,crampy abdominal pain relieved by bowel movement
Irritable Bowel Syndrome,i have stomach cramps bloating and my bowels are very irregular
Irritable Bowel Syndrome,frequent loose stools with abdominal pain and gas
Irritable Bowel Syndrome,constipation and bloating with occasional diarrhea
Irritable Bowel Syndrome,abdominal discomfort that comes and goes with mucus in stool
Irritable Bowel Syndrome,cramping pain after eating with bloating and changed stools
Irritable Bowel Syndrome,upset stomach with alternating bowel habits and flatulence
Scabies,intense itching especially at night with burrow tracks on skin
Scabies,itchy rash between fingers and on wrists with tiny bumps
Scabies,severe nighttime itching with thin irregular lines on skin
Scabies,i have intense itching at night with a rash on my hands and wrists
Scabies,itchy bumps in skin folds and between fingers
Scabies,pimple like rash with severe itching worse at night
Scabies,contagious skin condition with itchy bumps and burrow marks
Scabies,rash with crusting and intense itching on hands and body
Scabies,small blisters and tracks on skin with nocturnal itching
Scabies,persistent itching with tiny bumps in warm areas of body
Eczema,dry itchy inflamed skin with red patches
Eczema,skin rash with intense itching and cracking
Eczema,red scaly patches on skin with severe itching
Eczema,i have dry irritated skin that is very itchy and flaky
Eczema,itchy rash on arms and behind knees with thickened skin
Eczema,chronic skin inflammation with oozing and crusting
Eczema,dry skin patches that worsen in cold weather with itching
Eczema,rough bumpy skin with redness and irritation
Eczema,skin condition causing itchiness redness and swelling
Eczema,atopic dermatitis with dry cracked and inflamed skin
Psoriasis,thick red patches with silvery scales on skin
Psoriasis,scaly skin patches on elbows and knees with itching
Psoriasis,raised red lesions covered with white silvery scales
Psoriasis,i have thick scaly patches on my elbows that itch
Psoriasis,skin plaques with silvery flaking on scalp and limbs
Psoriasis,dry cracked skin that may bleed with thick patches
Psoriasis,red inflamed skin with thick silvery scales
Psoriasis,chronic skin condition with plaques on knees elbows and scalp
Psoriasis,itchy painful skin patches with flaking and redness
Psoriasis,autoimmune skin condition causing thick scaly lesions
Kidney Stones,severe flank pain radiating to groin with nausea
Kidney Stones,sharp pain in lower back and side with blood in urine
Kidney Stones,excruciating pain that comes in waves with urinary urgency
Kidney Stones,i have terrible pain in my side that comes and goes with bloody urine
Kidney Stones,renal colic with nausea vomiting and painful urination
Kidney Stones,sudden severe pain in back radiating to abdomen and groin
Kidney Stones,sharp cramping pain in flank with pink or red urine
Kidney Stones,intense pain in lower back with difficulty urinating
Kidney Stones,severe side pain with nausea and cloudy smelly urine
Kidney Stones,colicky pain with hematuria and frequent urination
Appendicitis,sharp pain in lower right abdomen with nausea and fever
Appendicitis,pain starting around navel moving to right lower side
Appendicitis,sudden abdominal pain that gets worse with movement
Appendicitis,i have severe pain in my lower right belly with nausea
Appendicitis,right sided abdominal pain with loss of appetite and fever
Appendicitis,sharp pain in right lower quadrant with vomiting
Appendicitis,abdominal tenderness fever and pain worse when walking
Appendicitis,pain around belly button that shifted to lower right with nausea
Appendicitis,intense right sided abdominal pain with constipation or diarrhea
Appendicitis,sudden onset lower right abdominal pain with rebound tenderness
Vertigo,spinning sensation dizziness nausea and balance problems
Vertigo,room feels like it is spinning with nausea and vomiting
Vertigo,sudden onset dizziness with difficulty standing and nausea
Vertigo,i feel like everything is spinning around me and i feel sick
Vertigo,episodes of spinning sensation triggered by head movement
Vertigo,intense dizziness with ringing in ears and nausea
Vertigo,balance problems with sensation of movement when still
Vertigo,feeling of spinning with sweating and unsteadiness
Vertigo,recurrent episodes of rotational dizziness with hearing changes
Vertigo,sudden severe dizziness with vomiting and difficulty walking
Gout,sudden severe joint pain especially in big toe with swelling
Gout,red hot swollen joint with intense pain usually at night
Gout,painful inflamed big toe joint with tenderness
Gout,i woke up with my big toe extremely swollen red and painful
Gout,acute joint pain with warmth and swelling in affected area
Gout,sudden onset severe pain in foot joint with redness
Gout,intense throbbing pain in big toe with shiny red skin
Gout,painful swollen joint that is too tender to touch
Gout,recurrent attacks of joint inflammation and severe pain
Gout,crystal arthritis with sudden painful swelling in toe or ankle
Heart Attack,"I have a crushing chest pain that radiates to my left arm, and I am sweating a lot."
Heart Attack,"Severe chest pressure, difficulty breathing, and my jaw hurts."
Heart Attack,"I feel like an elephant is sitting on my chest, very dizzy and nauseous."
Heart Attack,Extreme tightness in my chest and shortness of breath.
Stroke,Half of my face is drooping and my right arm feels totally numb and weak.
Stroke,"I suddenly can't speak properly, my words are slurred and I can't lift my arm."
Stroke,"Sudden severe headache, blurred vision, and unable to balance."
Stroke,"My face looks lopsided, I feel very confused and dizzy."
Influenza,I've got this terrible fever along with chills and body aches all over my back.
Influenza,"It feels like I was hit by a truck. High temperature, weak muscles, dry cough."
Influenza,"Sweating rapidly, freezing chills, and an annoying dry cough."
Influenza,"Started suddenly: fever, chills, aching joints, and profound fatigue."
Common Cold,"Just a normal sniffle, slightly blocked nose, and a tickle in my throat."
Common Cold,"I keep blowing my nose and sneezing. No fever, just feeling a bit congested."
Common Cold,"Slight sore throat, very mild cough, running nose but I can still work."
Common Cold,A stuffy head cold with lots of sneezing and watery eyes.
COVID-19,"I completely lost my sense of taste and smell yesterday, accompanied by a dry cough."
COVID-19,"Testing positive soon maybe: lack of taste, fever, and breathing is slightly hard."
COVID-19,"Fever, loss of smell, and a very persistent dry cough for the last week."
COVID-19,Anosmia and ageusia along with fatigue and a slight fever.
Migraine,"Pounding painful headache on the left temple, bright lights make it much worse."
Migraine,I see auras and flashes of light followed by a severe throbbing head pain.
Migraine,"Extreme sensitivity to sound and light, pulsing headache that causes nausea."
Migraine,"My head is throbbing so badly that I feel like throwing up, need a dark room."
Gastroenteritis,I've been vomiting all morning and having watery diarrhea.
Gastroenteritis,"Stomach cramps, diarrhea, and feeling very nauseous after eating out."
Gastroenteritis,"Food poisoning symptoms: vomiting, stomach cramps, and loose stools."
Gastroenteritis,Frequent trips to the bathroom with watery diarrhea and abdominal pain.
Urinary Tract Infection,"It burns a lot when I urinate, and I feel the urge to go constantly."
Urinary Tract Infection,"Cloudy and strong-smelling urine, painful burning urination."
Urinary Tract Infection,"Lower abdominal pain, frequent urination but only small amounts come out, burns."
Urinary Tract Infection,Burning sensation during peeing and feeling like my bladder is never empty.
Allergic Rhinitis,"Every spring I get constant sneezing, itchy eyes, and a very runny nose."
Allergic Rhinitis,Dust triggers my allergies: non-stop sneezing and clear nasal drip.
Allergic Rhinitis,"My eyes are incredibly itchy, watery, and I have a constant sneezes."
Allergic Rhinitis,Seasonal allergies acting up: stuffy nose and itchy throat/eyes.
Bronchitis,"A deep, chesty cough that brings up thick yellowish-green mucus."
Bronchitis,My chest feels tight and I have a barking persistent cough with phlegm.
Bronchitis,"Coughing up a lot of sputum, slight fever, and wheezing when I breathe."
Bronchitis,Lingering cough after a cold that produces thick mucus from my chest.
Diabetes,I am incredibly thirsty all the time and have to pee very frequently especially at night.
Diabetes,"Unexplained weight loss, blurry vision, and I am drinking gallons of water."
Diabetes,"Feeling constantly hungry and thirsty, frequent urination, cuts healing very slowly."
Diabetes,"Tingling in my feet, excessive thirst, and feeling very fatigued without reason."
Hypertension,My doctor says my blood pressure is very high. I sometimes get dizzy and have headaches.
Hypertension,"Ringing in my ears, flushed face, and frequent morning headaches."
Hypertension,"I feel a pounding sensation in my chest and neck, and get unexpected nosebleeds."
Hypertension,No major symptoms but my home BP monitor keeps showing 160 over 100.
Asthma,"I have sudden fits of wheezing, my chest feels tight, and I can't catch my breath."
Asthma,Exercise-induced breathlessness and whistling sound when I exhale.
Asthma,"Chest tightness, wheezing, and coughing fits mostly at night."
Asthma,Using my inhaler a lot because of chest tightness and difficulty breathing deeply.
Pneumonia,"High fever, chills, and I'm coughing up rust-colored phlegm. Breathing hurts my chest."
Pneumonia,"Sharp chest pain when I inhale, productive cough, and feeling extremely weak and feverish."
Pneumonia,"Difficulty breathing, rapid heartbeat, and a wet cough with high fever."
Pneumonia,"My lips look a bit bluish, high fever, and very painful breathing/coughing."
Sinusitis,"Pressure and pain right behind my eyes and forehead, thick green nasal discharge."
Sinusitis,"Facial pain around my nose and cheeks, congested, and a bad taste in my mouth."
Sinusitis,"Throbbing pain in my forehead when I bend over, stuffy nose, and reduced sense of smell."
Sinusitis,"Severe sinus pressure, headache, and congestion that has lasted over two weeks."
Anxiety Disorder,"I feel constantly on edge, my heart races for no reason, and I can't stop worrying."
Anxiety Disorder,"Panic attacks out of nowhere, sweating, trembling, and feeling impending doom."
Anxiety Disorder,"Restless, difficulty concentrating, and muscle tension from constant worry."
Anxiety Disorder,"My mind races at night, I feel tight in my chest from stress and panic."
Depression,"I feel an overwhelming sadness, zero energy, and I've lost interest in my hobbies."
Depression,"Can't get out of bed, feeling hopeless and worthless for weeks now."
Depression,"Sleeping all the time but still exhausted, crying spells, and deep sadness."
Depression,"No motivation to eat or socialize, just feeling empty and profoundly sad."
Tonsillitis,My tonsils are huge and covered in white spots. Swallowing is excruciating.
Tonsillitis,"Very sore throat, swollen glands in my neck, and bad breath with fever."
Tonsillitis,"Painful swallowing, red swollen tonsils, and chills/fever."
Tonsillitis,"Difficulty swallowing, swollen lymph nodes, and white patches on the back of my throat."
Strep Throat,"Sudden severe sore throat, pain when swallowing, and tiny red spots on the roof of my mouth."
Strep Throat,"Throat feels like swallowing glass, fever, and swollen neck glands. No cough though."
Strep Throat,"Intense sore throat, fever, and a rash on my chest."
Strep Throat,"Swollen lymph nodes, very red tonsils, high fever, and sudden sore throat."
Ear Infection,"Sharp piercing pain in my right ear, especially when lying down. Muffled hearing."
Ear Infection,"My ear is draining fluid, throbbing pain, and I feel slightly dizzy."
Ear Infection,"Earache, feeling of fullness in the ear, and some hearing loss."
Ear Infection,"Intense pain inside the ear canal, fever, and difficulty hearing clearly."
Conjunctivitis,"My left eye is extremely pink, itchy, and has a crusty discharge in the morning."
Conjunctivitis,"Redness in both eyes, feels gritty like there's sand in them, highly contagious pink eye."
Conjunctivitis,"Watery, itchy, and red eyes with swollen eyelids."
Conjunctivitis,"Thick yellow discharge from my eye, the white part is very red and inflamed."
Chickenpox,Itchy fluid-filled blisters are popping up all over my torso and face.
Chickenpox,"Red itchy rash turning into scabs, accompanied by a mild fever."
Chickenpox,"Lots of small itchy pimples that became blisters, fever, and tiredness."
Chickenpox,Classic childhood rash: red spots becoming itchy blisters all over the body.
Dengue Fever,"High fever, severe joint and muscle pain (breakbone fever), and a rash."
Dengue Fever,"Pain behind the eyes, high fever, and extreme fatigue after a mosquito bite."
Dengue Fever,"Bleeding gums, extremely high temperature, and severe headaches and body aches."
Dengue Fever,"Rash spreading rapidly, excruciating joint pain, vomiting, and high fever."
Malaria,Cyclical periods of intense shaking chills followed by a very high fever and sweating.
Malaria,Fevers spiking every two days with massive sweating and extreme shivering.
Malaria,"Travelled recently, now having severe chills, high fever, and body aches."
Malaria,"Profuse sweating, headache, nausea, and recurring fevers/chills."
Typhoid,"A sustained high fever, weakness, stomach pain, and a rose-colored rash."
Typhoid,"Persistent fever that gets higher every day, diarrhea, and extreme fatigue."
Typhoid,"High fever, headache, abdominal pain, and poor appetite over a week."
Typhoid,"Feeling very weak, prolonged fever, constipation followed by diarrhea."
Tuberculosis,"A persistent cough lasting more than 3 weeks, coughing up blood, and night sweats."
Tuberculosis,"Losing weight without trying, severe night sweats, and a chesty cough with blood."
Tuberculosis,"Chronic cough, chest pain, fever, and drenching night sweats."
Tuberculosis,"Coughing up pinkish sputum, extreme fatigue, and night sweats."
Anemia,"I am always tired, look very pale, and get dizzy when I stand up."
Anemia,"Craving ice to chew, extreme fatigue, pale skin, and cold hands/feet."
Anemia,"Shortness of breath with minimal exertion, weakness, and lightheadedness."
Anemia,"Lack of energy, brittle nails, pale eyelids, and constant exhaustion."
Gastritis,A burning ache in my upper abdomen that gets worse after I eat.
Gastritis,"Nausea, feeling overly full in the upper stomach after eating just a little."
Gastritis,"Stomach upset, burning indigestion, and occasional vomiting."
Gastritis,"Gnawing pain in the stomach, bloating, and loss of appetite."
Irritable Bowel Syndrome,"Constant cramping, gas, and alternating between diarrhea and constipation."
Irritable Bowel Syndrome,Bloating and abdominal pain that is relieved after having a bowel movement.
Irritable Bowel Syndrome,"Frequent changes in bowel habits, excessive gas, and stomach cramps."
Irritable Bowel Syndrome,IBS acting up: cramping and urgent need to go to the bathroom.
Scabies,"Intense itching all over my body, especially at night. Little red burrows between my fingers."
Scabies,"Very itchy rash on my wrists and between fingers, worse at night."
Scabies,"Relentless itching, small pimple-like bumps that look like tiny tracks on my skin."
Scabies,Pimple-like rash around waist and hands that itches like crazy when I go to bed.
Eczema,"Dry, red, extremely itchy patches of skin on the inside of my elbows and behind my knees."
Eczema,"Skin is thick, scaly, and very itchy, flares up with stress or certain soaps."
Eczema,"Intensely itchy rash that gets crusty if I scratch it, mainly on my arms/face."
Eczema,Chronic dry flaky skin that is inflamed and red.
Psoriasis,Thick red plaques of skin covered with silvery scales on my elbows and scalp.
Psoriasis,"Dry, cracked skin that may bleed, itchy scaly patches on my knees."
Psoriasis,"Silvery scales on my skin, pitted nails, and stiff joints."
Psoriasis,"Raised, red, scaly patches that sting and itch heavily on my back/scalp."
Kidney Stones,"The most severe, sharp pain in my side/back radiating down to my groin. Urine is pink."
Kidney Stones,"Excruciating flank pain coming in waves, nausea, and blood in urine."
Kidney Stones,"Incredible pain in lower back and sides, frequent urge to urinate but it hurts."
Kidney Stones,"Agonizing pain in the right kidney area, throwing up from the pain."
Appendicitis,Sharp sudden pain that started around my belly button and moved to the lower right abdomen.
Appendicitis,"Pain in the lower right side of my stomach, getting worse if I cough. Rebound tenderness."
Appendicitis,"Nausea, fever, and acute pain in the right lower quadrant of my belly."
Appendicitis,"Severe abdominal pain on the right side, vomiting, and lack of appetite."
Vertigo,"The room is spinning violently when I turn my head, keeping my balance is impossible."
Vertigo,"I feel incredibly dizzy and nauseous, like I am on a fast merry-go-round."
Vertigo,"Sudden spinning sensation, ringing in ears, and vomiting from dizziness."
Vertigo,Loss of balance and extreme spinning feeling when I sit up in bed.
Gout,"My big toe is incredibly swollen, red, hot, and the pain is excruciating if anything touches it."
Gout,"Sudden severe attack of pain, redness, and tenderness in the joint of the big toe."
